WL,Date,Borehole,,
160.103,10/1/2018,GW025045.3.2,,
161.113,11/1/2018,GW025045.3.2,,
161.178,12/1/2018,GW025045.3.2,,
157.735,1/1/2019,GW025045.3.2,,
157.273,2/1/2019,GW025045.3.2,,
162.404,3/1/2019,GW025045.3.2,,
163.777,4/1/2019,GW025045.3.2,,
163.899,5/1/2019,GW025045.3.2,,
164.005,6/1/2019,GW025045.3.2,,
163.831,7/1/2019,GW025045.3.2,,
161.909,8/1/2019,GW025045.3.2,,
162.719,9/1/2019,GW025045.3.2,,
159.343,10/1/2019,GW025045.3.2,,
161.456,11/1/2019,GW025045.3.2,,
158.257,12/1/2019,GW025045.3.2,,
157.311,1/1/2020,GW025045.3.2,,
161.359,2/1/2020,GW025045.3.2,,
163.275,3/1/2020,GW025045.3.2,,
163.487,4/1/2020,GW025045.3.2,,
163.597,5/1/2020,GW025045.3.2,,
163.685,6/1/2020,GW025045.3.2,,
163.687,7/1/2020,GW025045.3.2,,
163.764,8/1/2020,GW025045.3.2,,
161.906,9/1/2020,GW025045.3.2,,
161.402,10/1/2020,GW025045.3.2,,
162.146,11/1/2020,GW025045.3.2,,
161.033,12/1/2020,GW025045.3.2,,
162.698,1/1/2021,GW025045.3.2,,
160.632,2/1/2021,GW025045.3.2,,
163.041,3/1/2021,GW025045.3.2,,
163.481,4/1/2021,GW025045.3.2,,
163.614,5/1/2021,GW025045.3.2,,
163.721,6/1/2021,GW025045.3.2,,
163.809,7/1/2021,GW025045.3.2,,
163.877,8/1/2021,GW025045.3.2,,
163.94,9/1/2021,GW025045.3.2,,
164.007,10/1/2021,GW025045.3.2,,
164.108,11/1/2021,GW025045.3.2,,
163.974,12/1/2021,GW025045.3.2,,
163.92,1/1/2022,GW025045.3.2,,
163.789,2/1/2022,GW025045.3.2,,
163.955,3/1/2022,GW025045.3.2,,
164.371,4/1/2022,GW025045.3.2,,
164.492,5/1/2022,GW025045.3.2,,
147.441,2/1/2010,GW025245.1.1,,
147.448,3/1/2010,GW025245.1.1,,
147.437,4/1/2010,GW025245.1.1,,
147.431,5/1/2010,GW025245.1.1,,
147.423,6/1/2010,GW025245.1.1,,
147.416,7/1/2010,GW025245.1.1,,
147.407,8/1/2010,GW025245.1.1,,
147.41,9/1/2010,GW025245.1.1,,
147.408,10/1/2010,GW025245.1.1,,
147.412,11/1/2010,GW025245.1.1,,
147.42,12/1/2010,GW025245.1.1,,
147.423,1/1/2011,GW025245.1.1,,
147.422,2/1/2011,GW025245.1.1,,
147.417,3/1/2011,GW025245.1.1,,
147.412,4/1/2011,GW025245.1.1,,
147.412,5/1/2011,GW025245.1.1,,
147.408,6/1/2011,GW025245.1.1,,
147.405,7/1/2011,GW025245.1.1,,
147.401,8/1/2011,GW025245.1.1,,
147.401,9/1/2011,GW025245.1.1,,
147.407,10/1/2011,GW025245.1.1,,
147.38,11/1/2011,GW025245.1.1,,
147.371,12/1/2011,GW025245.1.1,,
147.368,1/1/2012,GW025245.1.1,,
147.364,2/1/2012,GW025245.1.1,,
147.364,3/1/2012,GW025245.1.1,,
147.36,4/1/2012,GW025245.1.1,,
147.358,5/1/2012,GW025245.1.1,,
147.358,6/1/2012,GW025245.1.1,,
147.356,7/1/2012,GW025245.1.1,,
147.355,8/1/2012,GW025245.1.1,,
147.352,9/1/2012,GW025245.1.1,,
147.347,10/1/2012,GW025245.1.1,,
147.342,11/1/2012,GW025245.1.1,,
147.336,12/1/2012,GW025245.1.1,,
147.328,1/1/2013,GW025245.1.1,,
147.319,2/1/2013,GW025245.1.1,,
147.314,3/1/2013,GW025245.1.1,,
147.314,4/1/2013,GW025245.1.1,,
147.313,5/1/2013,GW025245.1.1,,
147.313,6/1/2013,GW025245.1.1,,
147.312,7/1/2013,GW025245.1.1,,
147.309,8/1/2013,GW025245.1.1,,
147.307,9/1/2013,GW025245.1.1,,
147.301,10/1/2013,GW025245.1.1,,
147.294,11/1/2013,GW025245.1.1,,
147.288,12/1/2013,GW025245.1.1,,
147.282,1/1/2014,GW025245.1.1,,
147.276,2/1/2014,GW025245.1.1,,
147.272,3/1/2014,GW025245.1.1,,
147.269,4/1/2014,GW025245.1.1,,
147.269,5/1/2014,GW025245.1.1,,
147.268,6/1/2014,GW025245.1.1,,
147.268,7/1/2014,GW025245.1.1,,
147.266,8/1/2014,GW025245.1.1,,
147.264,9/1/2014,GW025245.1.1,,
147.26,10/1/2014,GW025245.1.1,,
147.256,11/1/2014,GW025245.1.1,,
147.25,12/1/2014,GW025245.1.1,,
147.244,1/1/2015,GW025245.1.1,,
147.239,2/1/2015,GW025245.1.1,,
147.233,3/1/2015,GW025245.1.1,,
147.228,4/1/2015,GW025245.1.1,,
147.226,5/1/2015,GW025245.1.1,,
147.223,6/1/2015,GW025245.1.1,,
147.22,7/1/2015,GW025245.1.1,,
147.216,8/1/2015,GW025245.1.1,,
147.21,9/1/2015,GW025245.1.1,,
147.204,10/1/2015,GW025245.1.1,,
147.196,11/1/2015,GW025245.1.1,,
147.19,12/1/2015,GW025245.1.1,,
147.182,1/1/2016,GW025245.1.1,,
147.173,2/1/2016,GW025245.1.1,,
147.164,3/1/2016,GW025245.1.1,,
147.161,4/1/2016,GW025245.1.1,,
147.156,5/1/2016,GW025245.1.1,,
147.152,6/1/2016,GW025245.1.1,,
147.147,7/1/2016,GW025245.1.1,,
147.144,8/1/2016,GW025245.1.1,,
147.139,9/1/2016,GW025245.1.1,,
147.135,10/1/2016,GW025245.1.1,,
147.134,11/1/2016,GW025245.1.1,,
147.132,12/1/2016,GW025245.1.1,,
147.126,1/1/2017,GW025245.1.1,,
147.118,2/1/2017,GW025245.1.1,,
147.111,3/1/2017,GW025245.1.1,,
147.108,4/1/2017,GW025245.1.1,,
147.106,5/1/2017,GW025245.1.1,,
147.101,6/1/2017,GW025245.1.1,,
147.098,7/1/2017,GW025245.1.1,,
147.096,8/1/2017,GW025245.1.1,,
147.093,9/1/2017,GW025245.1.1,,
147.086,10/1/2017,GW025245.1.1,,
147.081,11/1/2017,GW025245.1.1,,
147.075,12/1/2017,GW025245.1.1,,
147.066,1/1/2018,GW025245.1.1,,
147.054,2/1/2018,GW025245.1.1,,
147.045,3/1/2018,GW025245.1.1,,
147.042,4/1/2018,GW025245.1.1,,
147.041,5/1/2018,GW025245.1.1,,
147.039,6/1/2018,GW025245.1.1,,
147.035,7/1/2018,GW025245.1.1,,
147.029,8/1/2018,GW025245.1.1,,
147.022,9/1/2018,GW025245.1.1,,
147.017,10/1/2018,GW025245.1.1,,
147.011,11/1/2018,GW025245.1.1,,
147.008,12/1/2018,GW025245.1.1,,
147.004,1/1/2019,GW025245.1.1,,
146.998,2/1/2019,GW025245.1.1,,
146.995,3/1/2019,GW025245.1.1,,
146.993,4/1/2019,GW025245.1.1,,
146.991,5/1/2019,GW025245.1.1,,
146.988,6/1/2019,GW025245.1.1,,
146.983,7/1/2019,GW025245.1.1,,
146.965,8/1/2019,GW025245.1.1,,
146.965,9/1/2019,GW025245.1.1,,
146.985,10/1/2019,GW025245.1.1,,
146.982,11/1/2019,GW025245.1.1,,
146.976,12/1/2019,GW025245.1.1,,
146.969,1/1/2020,GW025245.1.1,,
146.97,2/1/2020,GW025245.1.1,,
146.991,3/1/2020,GW025245.1.1,,
146.989,4/1/2020,GW025245.1.1,,
146.974,5/1/2020,GW025245.1.1,,
146.959,6/1/2020,GW025245.1.1,,
146.941,7/1/2020,GW025245.1.1,,
146.934,8/1/2020,GW025245.1.1,,
146.937,9/1/2020,GW025245.1.1,,
146.932,10/1/2020,GW025245.1.1,,
146.926,11/1/2020,GW025245.1.1,,
146.916,12/1/2020,GW025245.1.1,,
146.913,1/1/2021,GW025245.1.1,,
146.91,2/1/2021,GW025245.1.1,,
146.91,3/1/2021,GW025245.1.1,,
146.909,4/1/2021,GW025245.1.1,,
146.909,5/1/2021,GW025245.1.1,,
146.908,6/1/2021,GW025245.1.1,,
146.908,7/1/2021,GW025245.1.1,,
146.905,8/1/2021,GW025245.1.1,,
