Borehole,Elevation(m) -AHD,Lat,Lon,GW-AHD(12/06/22),"Total_Thickness (m)",num_Lithology_type,total_layer,nl_soil,tn_soil,nl_clay,tn_clay,nl_gravel,tn_gravel,nl_sand,tn_sand,nl_shale,tn_shale,nl_topsoil,tn_topsoil,nl_sandy_clay,tn_sandy_clay,nl_sandstone,tn_sandstone,nl_ironstone,tn_ironstone,nl_rock,tn_rock,nl_bedrock,tn_bedrock,nl_boulders,tn_boulders,nl_slate,tn_slate,nl_basalt,tn_basalt,nl_conglomerate,tn_conglomerate,nl_calcarenite,tn_calcarenite,nl_clayey_sand,tn_clayey_sand,nl_loam,tn_loam,nl_siltstone,tn_siltstone,nl_granite,tn_granite,nl_sandy_clay_with_gravel,tn_sandy_clay_with_gravel,nl_coal,tn_coal,nl_claystone,tn_claystone,nl_volcanic,tn_volcanic,nl_silt,tn_slit,nl_colluvium,tn_colluvium,nl_rhyolite,tn_rhyolite,nl_tuff,tn_tuff,nl_alluvium,tn_alluvium,nl_sandy_shale,tn_sandy_shale,nl_mudstone,tn_mudstone,nl_silty_clay,tn_silty_clay,nl_unknown,tn_unknown
GW036974,298.7,31.21541667,150.24016667,295.9220,80,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,80
GW036976,308.18,31.31313889,150.19286111,299.1550,80,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,80
GW041027,318.45,30.51791667,150.21480556,312.3490,84,7,17,,,3,23,5,18,2,4,2,16,,,,,,,,,,,,,,,,,,,,,1,5,2,5,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW093030,393.21,31.12619444,150.99166667,288.1900,13,3,4,,,1,7,1,3,,,,,1,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW093036,16.36,31.06838889,151.05930556,307.0980,12,3,3,,,2,8,1,3,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW093037,16.36,31.0665,151.05769444,330.5920,21,2,4,,,2,10,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW093038,16.37,31.06461111,151.05611111,344.9410,17,4,4,,,1,6,1,7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GW093039,418.22,31.06313889,151.05583333,425.7240,16,4,4,,,1,11,1,3.5,,,1,0.5,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW093040,16.37,31.06161111,151.05369444,413.97,17,5,5,,,1,11,1,3,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
GW093067,287.27,30.961,150.00188889,241.6100,171,6,19,,,7,31,1,2,,,,,,,,,2,26,,,,,,,,,,,,,2,17,,,,,,,5,82,,,,,2,13,,,,,,,,,,,,,,,,,,,,,,
GW093068,271,30.94669444,149.90219444,NA,309.4,9,56,,,11,111,2,4,1,5,,,,,,,13,46,,,,,,,,,,,,,2,6,,,,,,,13,86,,,,,5,13.4,8,35,1,3,,,,,,,,,,,,,,,,,,
GW098206,0,30.25391667,149.68219444,198.2185,21,2,9,,,,,,,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,
GW098207,0,30.25372222,149.684,198.3040,10,4,10,,,1,1.5,1,2,5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,
GW098208,0,30.23663889,149.67102778,196.5835,25,3,5,,,2,6.5,,,2,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
GW098209,0,30.23594444,149.67111111,196.4645,20,4,9,,,1,2,2,7,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
GW098210,0,30.23425,149.67122222,196.3880,20,4,9,,,1,3,1,1,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
GW098211,0,30.25377778,149.68119444,198.3745,20,3,8,,,3,5.5,,,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5,,,,,,,,,,,,,,,,
GW099026,284.49,30.54533333,150.11222222,NA,61,6,26,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,,,,,,,,,,,,,1,2,17,41,1,5,,,,,,,,,,
GW099027,244.31,30.67538889,150.11702778,231.8510,152,5,35,1,1,9,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,,,,,,,,,,,,,12,30,,,,,12,58,,,,,,,,
