Date,residual,fitted
2019-03-04,0.044769287,0.93727183
2019-03-05,0.0446167,0.9373939
2019-03-06,0.044403076,0.9376447
2019-03-07,0.045196533,0.9372461
2019-03-08,0.04586792,0.93692946
2019-03-09,0.046142578,0.93694186
2019-03-10,0.04586792,0.9371021
2019-03-11,0.045532227,0.93730426
2019-03-12,0.045806885,0.9372728
2019-03-13,0.046325684,0.9369495
2019-03-14,0.046722412,0.9368799
2019-03-15,0.04711914,0.9368112
2019-03-16,0.047607422,0.9364431
2019-03-17,0.047851562,0.93641067
2019-03-18,0.04788208,0.93658423
2019-03-19,0.047668457,0.93661857
2019-03-20,0.048095703,0.93642116
2019-03-21,0.04864502,0.93622756
2019-03-22,0.048919678,0.9360235
2019-03-23,0.048980713,0.9361131
2019-03-24,0.04888916,0.9361532
2019-03-25,0.04940796,0.93604445
2019-03-26,0.049560547,0.9357488
2019-03-27,0.05053711,0.9354017
